file,slots,service_bytes_avg_per_slot,arrival_bytes_est_avg_per_slot,backlog_bytes_avg_per_slot,backlog_bytes_median_per_slot,backlog_bytes_pos_delta_total,backlog_bytes_net_delta_total
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_13_1_H4_P0(NP).csv,7,91343.42857142857,111564.21007676357,64757.71428571428,51998.0,132044.0,-86800.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_13_2_H4_P0(NP).csv,8,86247.375,111470.3025864451,79111.125,80766.0,199447.0,-52752.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_13_3_H4_P0(NP).csv,9,83420.33333333333,106824.2881084656,57810.444444444445,52958.0,207664.0,354.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_13_4_H4_P0(NP).csv,3,164779.0,164394.33333333334,28617.333333333332,0.0,0.0,-95084.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_13_5_H4_P0(NP).csv,5,104206.0,151381.98451612904,88842.8,102532.0,220004.0,87742.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_13_6_H4_P0(NP).csv,5,64593.2,89498.6857142857,40732.0,38996.0,120444.0,0.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_13_7_H4_P0(NP).csv,0,,,,,,
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_13_8_H4_P0(NP).csv,8,78271.375,104293.19928229664,71100.875,76787.5,178119.0,0.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_13_9_H4_P0(NP).csv,7,95087.0,126536.33501896333,46186.0,42158.0,202738.0,0.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_13_10_H4_P0(NP).csv,6,89716.0,102595.37623762376,29575.333333333332,32827.0,59730.0,0.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_13_11_H4_P0(NP).csv,4,82688.0,88237.7625,35743.0,43903.0,21582.0,-33584.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_13_12_H4_P0(NP).csv,3,88120.66666666667,97821.88888888888,14513.333333333334,7498.0,28802.0,28802.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_13_13_H4_P0(NP).csv,9,67172.77777777778,84458.8194833489,58708.88888888889,80368.0,140004.0,-111168.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_13_14_H4_P0(NP).csv,6,107552.0,142699.06788812877,74594.33333333333,69155.0,176526.0,-36190.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_13_15_H4_P0(NP).csv,0,,,,,,
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_13_16_H4_P0(NP).csv,8,71675.25,76489.2901010101,44575.0,44380.0,42688.0,-115048.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_13_17_H4_P0(NP).csv,6,123838.66666666667,175320.27212572374,61201.0,55434.0,191308.0,0.0
