threshold,successes(≤t),total_files,p_leq_t,p_exact_t
1,9,300,0.03,0.03
2,75,300,0.25,0.22
3,162,300,0.54,0.29
4,219,300,0.73,0.19
5,260,300,0.8666666666666667,0.13666666666666666
6,279,300,0.93,0.06333333333333334
7,292,300,0.9733333333333334,0.043333333333333335
8,297,300,0.99,0.016666666666666666
9,298,300,0.9933333333333333,0.0033333333333333335
10,300,300,1.0,0.006666666666666667
11,300,300,1.0,0.0
12,300,300,1.0,0.0
13,300,300,1.0,0.0
14,300,300,1.0,0.0
15,300,300,1.0,0.0
