threshold,successes(≤t),total_files,p_leq_t,p_exact_t
1,42,300,0.14,0.14
2,196,300,0.6533333333333333,0.5133333333333333
3,267,300,0.89,0.23666666666666666
4,291,300,0.97,0.08
5,295,300,0.9833333333333333,0.013333333333333334
6,298,300,0.9933333333333333,0.01
7,300,300,1.0,0.006666666666666667
8,300,300,1.0,0.0
9,300,300,1.0,0.0
10,300,300,1.0,0.0
