threshold,successes(≤t),total_files,p_leq_t,p_exact_t
1,111,300,0.37,0.37
2,264,300,0.88,0.51
3,295,300,0.9833333333333333,0.10333333333333333
4,299,300,0.9966666666666667,0.013333333333333334
5,300,300,1.0,0.0033333333333333335
6,300,300,1.0,0.0
7,300,300,1.0,0.0
8,300,300,1.0,0.0
9,300,300,1.0,0.0
10,300,300,1.0,0.0
