file,slots,service_bytes_avg_per_slot,arrival_bytes_est_avg_per_slot,backlog_bytes_avg_per_slot,backlog_bytes_median_per_slot,backlog_bytes_pos_delta_total,backlog_bytes_net_delta_total
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_34_H4_P0(NP).csv,10,57777.0,65554.56666666668,44442.8,38526.0,117596.0,-19900.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_35_H4_P0(NP).csv,11,67604.18181818182,90563.55759946267,99145.45454545454,111756.0,182348.0,-44226.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_36_H4_P0(NP).csv,5,81617.6,86661.15294117646,48976.0,65884.0,10012.0,-86166.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_37_H4_P0(NP).csv,5,117814.8,128674.74816336595,72812.0,77436.0,42066.0,-102126.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_38_H4_P0(NP).csv,0,,,,,,
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_39_H4_P0(NP).csv,6,74473.33333333333,-18348.0,63168.666666666664,69566.0,12960.0,-178302.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_40_H4_P0(NP).csv,3,71822.66666666667,71681.5,24437.333333333332,0.0,0.0,-74236.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_41_H4_P0(NP).csv,0,,,,,,
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_42_H4_P0(NP).csv,0,,,,,,
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_43_H4_P0(NP).csv,4,104695.0,129417.94444444444,32114.0,19840.0,88776.0,0.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_44_H4_P0(NP).csv,6,129014.33333333333,153157.58142680366,59335.0,70674.0,134334.0,0.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_45_H4_P0(NP).csv,7,99554.85714285714,137267.63502304145,81770.57142857143,81218.0,242612.0,24578.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_46_H4_P0(NP).csv,9,91122.22222222222,101515.8074074074,67746.22222222222,73532.0,85868.0,-115744.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_47_H4_P0(NP).csv,0,,,,,,
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_48_H4_P0(NP).csv,11,66134.45454545454,93759.6308580395,59382.90909090909,63860.0,248276.0,-6182.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_49_H4_P0(NP).csv,5,89244.0,99715.3690140845,52537.6,65062.0,36624.0,-48852.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_50_H4_P0(NP).csv,8,75855.25,99077.30148376891,56019.25,61722.0,176428.0,-66664.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_51_H4_P0(NP).csv,0,,,,,,
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_52_H4_P0(NP).csv,7,86947.57142857143,94008.60478171853,22058.571428571428,12400.0,43510.0,-148544.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_53_H4_P0(NP).csv,7,87679.71428571429,97678.88686635946,38376.57142857143,39698.0,62442.0,-71846.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_54_H4_P0(NP).csv,3,79191.33333333333,104705.86262626263,52960.0,46584.0,67024.0,44500.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_55_H4_P0(NP).csv,14,77766.5,105883.5696567668,62033.21428571428,59973.0,364024.0,56714.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_56_H4_P0(NP).csv,5,120751.2,129617.93333333335,75238.2,97732.0,24307.0,-87904.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_57_H4_P0(NP).csv,5,88814.8,117726.42471910112,50972.4,53140.0,91384.0,-17208.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_58_H4_P0(NP).csv,8,39694.125,53644.43421052632,43190.5,48156.0,124107.0,-21397.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_59_H4_P0(NP).csv,6,130573.66666666667,182919.88888888888,67917.33333333333,63973.0,129358.0,-103696.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_60_H4_P0(NP).csv,7,92677.42857142857,120581.1174089069,80122.0,61670.0,186738.0,61176.0
