file,slots,service_bytes_avg_per_slot,arrival_bytes_est_avg_per_slot,backlog_bytes_avg_per_slot,backlog_bytes_median_per_slot,backlog_bytes_pos_delta_total,backlog_bytes_net_delta_total
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_1_H4_P0(NP).csv,8,85324.625,113725.65625,85889.375,92380.5,96992.0,-16472.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_2_H4_P0(NP).csv,11,61935.36363636364,79192.66463213484,49523.454545454544,41158.0,170516.0,-92834.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_3_H4_P0(NP).csv,7,96740.57142857143,128658.47830750557,64168.857142857145,52974.0,152016.0,-80408.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_4_H4_P0(NP).csv,3,108182.0,125986.81318681319,24945.333333333332,12566.0,52724.0,9546.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_5_H4_P0(NP).csv,5,88615.6,119998.056615038,67373.2,52586.0,108080.0,-84618.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_6_H4_P0(NP).csv,6,96558.66666666667,104362.5859982714,39116.333333333336,47025.0,39812.0,-32064.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_7_H4_P0(NP).csv,8,70204.25,82301.89276595745,68441.5,62601.0,81474.0,-108654.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_8_H4_P0(NP).csv,7,86722.28571428571,327724.4518272425,74621.14285714286,82136.0,96410.0,-25688.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_9_H4_P0(NP).csv,10,49396.8,74106.85385544517,79436.0,100033.0,169268.0,-17650.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_10_H4_P0(NP).csv,3,127578.0,169663.75163398692,50616.0,12962.0,116130.0,-22496.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_11_H4_P0(NP).csv,3,78057.33333333333,78986.28205128205,12788.0,0.0,1192.0,-37172.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_12_H4_P0(NP).csv,14,41238.21428571428,51345.97488479263,42135.5,29886.0,121838.0,-54473.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_13_H4_P0(NP).csv,7,79860.57142857143,89101.49039938556,31561.714285714286,14330.0,59162.0,-94510.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_14_H4_P0(NP).csv,5,117569.6,161421.69310344828,81426.4,93732.0,202478.0,5404.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_15_H4_P0(NP).csv,5,59611.2,73831.86502057614,36025.6,49872.0,70930.0,-8906.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_16_H4_P0(NP).csv,9,86413.0,123688.33333333333,84431.11111111111,97565.0,293342.0,86146.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_17_H4_P0(NP).csv,6,94886.5,113689.05555555556,69110.0,68551.0,94490.0,-51526.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_18_H4_P0(NP).csv,3,93264.0,114704.53676470589,115361.0,135332.0,61173.0,-88426.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_19_H4_P0(NP).csv,7,73731.14285714286,111496.08905380334,96970.85714285714,89820.0,250006.0,61532.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_20_H4_P0(NP).csv,3,91524.0,118296.16666666667,32239.333333333332,0.0,75592.0,-21126.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_21_H4_P0(NP).csv,3,68463.33333333333,79841.30054644808,10516.0,0.0,31548.0,0.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_22_H4_P0(NP).csv,7,56468.28571428572,62560.84285714285,24531.428571428572,9046.0,14408.0,-138782.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_23_H4_P0(NP).csv,6,92017.0,125009.1070584262,37796.333333333336,17437.0,157986.0,-33918.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_24_H4_P0(NP).csv,7,86746.28571428571,108325.88739121704,52797.142857142855,51724.0,144824.0,-3098.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_25_H4_P0(NP).csv,6,88515.33333333333,106959.62599469496,49794.333333333336,50429.0,62306.0,-49400.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_26_H4_P0(NP).csv,5,65788.6,75061.37045454545,39066.8,39784.0,42183.0,-73583.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_27_H4_P0(NP).csv,4,99015.5,129413.1,29876.0,4110.0,111284.0,0.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_28_H4_P0(NP).csv,4,139823.0,155684.78196721312,72907.0,71857.0,54660.0,-79654.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_29_H4_P0(NP).csv,3,69573.66666666667,80547.97046413501,19212.0,25526.0,32110.0,0.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_30_H4_P0(NP).csv,7,40528.57142857143,54138.46723646724,17116.571428571428,0.0,88250.0,-17898.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_31_H4_P0(NP).csv,13,67851.38461538461,94730.35515468413,42864.0,26472.0,268440.0,0.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_32_H4_P0(NP).csv,10,83774.0,102294.75775316029,60664.8,65406.0,169672.0,-13050.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_33_H4_P0(NP).csv,7,102148.28571428571,143509.30557087698,72823.71428571429,88882.0,276616.0,-1796.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_34_H4_P0(NP).csv,7,94169.0,111791.14185941043,47741.71428571428,58612.0,112914.0,-57610.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_35_H4_P0(NP).csv,5,107302.0,130207.30309964635,53625.6,65764.0,100694.0,0.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_36_H4_P0(NP).csv,7,72192.85714285714,114152.20199335548,69319.42857142857,60780.0,117102.0,-61714.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_37_H4_P0(NP).csv,9,81255.55555555556,99044.64014391477,59699.555555555555,66034.0,145858.0,-43750.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_38_H4_P0(NP).csv,6,57284.333333333336,68742.43143143144,51338.0,70826.0,80232.0,-18286.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_39_H4_P0(NP).csv,5,98066.8,115111.33664596274,91964.4,95810.0,67922.0,-50056.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_40_H4_P0(NP).csv,4,91899.0,105489.43283582089,48789.5,46607.0,53234.0,-1314.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_41_H4_P0(NP).csv,5,130625.6,145056.93333333335,80034.0,115636.0,66188.0,-86036.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_42_H4_P0(NP).csv,9,76274.22222222222,111763.00846560847,71424.44444444444,68494.0,207258.0,-52304.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_43_H4_P0(NP).csv,7,75084.0,109905.19860865043,46699.71428571428,39972.0,153758.0,-41468.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_44_H4_P0(NP).csv,9,74236.88888888889,101982.1918445617,46059.555555555555,31184.0,226268.0,0.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_45_H4_P0(NP).csv,10,77757.3,111566.89859246509,60206.7,52992.0,244131.0,-37222.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_46_H4_P0(NP).csv,10,101762.5,114127.52641295546,58923.0,44827.0,110800.0,-173234.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_47_H4_P0(NP).csv,0,,,,,,
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_48_H4_P0(NP).csv,6,115953.33333333333,146291.49206349207,72633.66666666667,57313.0,167784.0,0.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_49_H4_P0(NP).csv,8,80974.0,99067.1500405515,79614.75,85605.0,113440.0,-42494.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_50_H4_P0(NP).csv,5,99982.8,121992.98947368423,63006.4,46824.0,84018.0,-69612.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_51_H4_P0(NP).csv,7,105647.42857142857,121847.89125702246,68298.71428571429,65555.0,103934.0,-45400.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_14_52_H4_P0(NP).csv,9,49978.666666666664,61965.06243466961,44736.0,68900.0,80705.0,-34345.0
