file,slots,service_bytes_avg_per_slot,arrival_bytes_est_avg_per_slot,backlog_bytes_avg_per_slot,backlog_bytes_median_per_slot,backlog_bytes_pos_delta_total,backlog_bytes_net_delta_total
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_1_H4_P0(NP).csv,11,76022.18181818182,96945.70538345439,67306.0,67028.0,196124.0,-32342.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_2_H4_P0(NP).csv,7,81005.71428571429,117980.93178673179,70763.71428571429,55484.0,212464.0,21402.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_3_H4_P0(NP).csv,3,130589.0,142466.49462365592,59559.333333333336,81732.0,35134.0,-61812.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_4_H4_P0(NP).csv,11,69651.36363636363,97059.41138023016,60028.0,47324.0,238119.0,-56344.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_5_H4_P0(NP).csv,9,79071.33333333333,80245.42962962964,54408.0,54540.0,64910.0,-115928.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_6_H4_P0(NP).csv,7,70036.28571428571,102595.41528471527,89631.71428571429,99364.0,212196.0,43502.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_7_H4_P0(NP).csv,10,83911.8,96627.56214932833,53871.2,53113.0,113756.0,-79628.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_8_H4_P0(NP).csv,7,94299.14285714286,138383.44099378883,64028.28571428572,43588.0,196184.0,-35978.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_9_H4_P0(NP).csv,5,127386.0,144857.0823529412,64489.2,56374.0,82108.0,-73298.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_10_H4_P0(NP).csv,12,56587.75,66272.71274101094,53322.0,71476.0,87034.0,-56880.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_11_H4_P0(NP).csv,4,82731.25,111934.00773195876,48244.5,41745.0,102540.0,-6948.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_12_H4_P0(NP).csv,5,111068.8,131998.88372093026,56880.0,49326.0,102272.0,-9650.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_13_H4_P0(NP).csv,8,109375.5,130586.65687219011,56942.5,50435.0,149798.0,1326.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_14_H4_P0(NP).csv,13,71091.53846153847,98977.43387978143,57240.0,74736.0,333780.0,10130.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_15_H4_P0(NP).csv,10,72229.0,119441.94530341782,60715.0,52174.0,328910.0,23140.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_16_H4_P0(NP).csv,9,66305.77777777778,95197.06519023761,68340.66666666667,75102.0,167154.0,0.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_17_H4_P0(NP).csv,8,76324.875,95718.39840301975,48968.75,43054.0,79039.0,-76453.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_18_H4_P0(NP).csv,9,70869.55555555556,85799.87787752169,59994.333333333336,75398.0,127877.0,-160697.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_19_H4_P0(NP).csv,10,67156.0,100246.79233588329,98068.2,109831.0,280330.0,-7862.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_20_H4_P0(NP).csv,6,96059.83333333333,100309.96433645922,76656.33333333333,73002.0,34054.0,-136710.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_21_H4_P0(NP).csv,7,91693.14285714286,124454.68868123747,66796.0,81736.0,193396.0,-2686.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_22_H4_P0(NP).csv,0,,,,,,
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_23_H4_P0(NP).csv,7,102513.71428571429,124252.375,73510.0,87584.0,139512.0,21026.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_24_H4_P0(NP).csv,18,61172.444444444445,79422.93888888888,57197.666666666664,29272.0,285334.0,-68526.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_25_H4_P0(NP).csv,7,92144.28571428571,109392.1669341894,60947.142857142855,58410.0,110254.0,-50874.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_26_H4_P0(NP).csv,13,65367.846153846156,77080.68350425566,47768.769230769234,37902.0,151306.0,-27000.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_27_H4_P0(NP).csv,10,70603.8,80504.50095238094,71817.6,82849.0,58094.0,-101552.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_28_H4_P0(NP).csv,10,79867.2,96299.0014069264,91135.6,83629.0,170954.0,-107536.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_29_H4_P0(NP).csv,0,,,,,,
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_30_H4_P0(NP).csv,4,81065.0,161047.6,71858.0,74572.0,182564.0,44276.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_31_H4_P0(NP).csv,13,60286.307692307695,80383.34841404081,52694.92307692308,53204.0,196760.0,-143486.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_32_H4_P0(NP).csv,8,77377.75,91662.84477124183,49458.25,38835.0,86888.0,-54294.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_33_H4_P0(NP).csv,8,61730.0,75389.46314102564,44347.25,41358.0,81786.0,-101756.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_34_H4_P0(NP).csv,9,77100.44444444444,98320.52891344384,72661.33333333333,83878.0,179686.0,-48208.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_35_H4_P0(NP).csv,7,88667.14285714286,103545.85714285714,67336.28571428571,78600.0,49084.0,-102934.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_36_H4_P0(NP).csv,9,77343.55555555556,98882.76229792993,79009.33333333333,72238.0,192378.0,-159790.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_37_H4_P0(NP).csv,6,94256.33333333333,129552.893314367,65038.333333333336,34348.0,197390.0,0.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_38_H4_P0(NP).csv,13,75334.0,99663.83801615005,62333.692307692305,68678.0,297759.0,-3024.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_39_H4_P0(NP).csv,10,61926.6,79744.0836744186,85196.1,90211.0,106569.0,-55334.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_40_H4_P0(NP).csv,11,86535.81818181818,118647.23829444892,54135.63636363636,44858.0,213274.0,-84132.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_41_H4_P0(NP).csv,7,94472.57142857143,103176.76958525345,62910.28571428572,62222.0,57382.0,-71494.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_42_H4_P0(NP).csv,9,67811.44444444444,102891.5100754264,70547.33333333333,82520.0,239054.0,-47946.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_43_H4_P0(NP).csv,7,78473.28571428571,117131.47749510764,93692.85714285714,111850.0,220776.0,17694.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_44_H4_P0(NP).csv,13,53693.230769230766,65914.81621580562,38932.61538461538,35072.0,133780.0,-25714.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_45_H4_P0(NP).csv,0,,,,,,
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_46_H4_P0(NP).csv,10,79132.2,120303.43806620207,59420.4,63966.0,390038.0,75858.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_47_H4_P0(NP).csv,7,88675.14285714286,106692.18207566414,54131.142857142855,63156.0,111540.0,-20934.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_48_H4_P0(NP).csv,9,78396.44444444444,101124.98464741086,84751.77777777778,98760.0,152942.0,-40148.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_49_H4_P0(NP).csv,7,76814.85714285714,110446.95689385242,71136.28571428571,63052.0,185866.0,32282.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_50_H4_P0(NP).csv,18,69595.5,94940.6259679856,60313.333333333336,62175.0,410678.0,-40996.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_51_H4_P0(NP).csv,12,66338.33333333333,90689.8478655863,74599.33333333333,81882.0,215104.0,0.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_52_H4_P0(NP).csv,5,97763.6,109402.13333333333,47723.2,41188.0,77994.0,-29480.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_53_H4_P0(NP).csv,4,135078.5,143214.0744680851,62581.5,53168.0,28064.0,-115926.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_54_H4_P0(NP).csv,8,82483.0,105234.28517482517,62372.75,62051.0,119386.0,-99284.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_55_H4_P0(NP).csv,4,108699.25,124509.37931034483,50016.5,35434.0,58330.0,-98514.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_56_H4_P0(NP).csv,9,60830.22222222222,88371.12380952381,62447.555555555555,66698.0,97334.0,-15372.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_57_H4_P0(NP).csv,3,102516.66666666667,103792.02972399151,10131.333333333334,0.0,0.0,-100116.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_58_H4_P0(NP).csv,15,68994.26666666666,91573.2777723903,57925.73333333333,54580.0,263900.0,-81448.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_59_H4_P0(NP).csv,9,81273.66666666667,99812.58654970762,42911.77777777778,47702.0,156776.0,0.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_60_H4_P0(NP).csv,18,60053.666666666664,83971.51004108012,43200.88888888889,28863.0,411760.0,-5608.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_61_H4_P0(NP).csv,14,63272.42857142857,77505.5090532086,61035.857142857145,54524.0,170736.0,-54006.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_62_H4_P0(NP).csv,12,63490.0,76681.94997852229,38997.166666666664,19763.0,133280.0,-81868.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_63_H4_P0(NP).csv,4,66869.0,71952.86666666667,6994.5,2595.0,17598.0,-36770.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_64_H4_P0(NP).csv,5,107152.0,119104.07232472324,51320.0,65918.0,35204.0,-89560.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_65_H4_P0(NP).csv,3,102990.66666666667,138220.01666666666,82484.66666666667,100150.0,101868.0,45436.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_66_H4_P0(NP).csv,8,86737.625,109706.25693088639,76132.625,83942.0,173623.0,-41262.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_67_H4_P0(NP).csv,13,75923.92307692308,92862.43785764974,84903.53846153847,88184.0,180712.0,-131054.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_68_H4_P0(NP).csv,9,57844.88888888889,78523.78319088319,66272.22222222222,75188.0,91820.0,-85252.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_69_H4_P0(NP).csv,0,,,,,,
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_16_70_H4_P0(NP).csv,9,61838.22222222222,141900.91781305114,56878.88888888889,43806.0,154072.0,488.0
